x,y
1.4146,38.4152
0.8768,38.4113
0.3863,38.408
-0.1181,38.4047
-0.6203,38.4017
-1.0643,38.3991
-1.539,38.3964
-1.9881,38.3939
-2.4536,38.3914
-2.9368,38.3884
-3.4229,38.386
-3.9493,38.3836
-4.5069,38.3809
-5.0306,38.3785
-5.5878,38.3759
-6.1586,38.3733
-6.7063,38.3707
-7.2925,38.3679
-7.8401,38.3654
-8.3885,38.3627
-8.9642,38.3576
-9.4762,38.3452
-9.9614,38.3194
-10.4904,38.2779
-11.0221,38.226
-11.489,38.1642
-11.9712,38.0838
-12.4799,37.9857
-12.9196,37.8867
-13.3181,37.7757
-13.724,37.6406
-14.1778,37.4693
-14.6085,37.2891
-15.075,37.0831
-15.5653,36.8504
-16.0231,36.621
-16.4993,36.3671
-16.9684,36.1017
-17.3637,35.8574
-17.7667,35.5809
-18.1678,35.2783
-18.5116,34.9993
-18.7982,34.7393
-19.0651,34.4655
-19.3471,34.1394
-19.6088,33.8144
-19.8712,33.4657
-20.1523,33.0904
-20.4432,32.6866
-20.731,32.2704
-20.9862,31.8763
-21.2516,31.4341
-21.5225,30.9667
-21.7666,30.5166
-22.0005,30.0382
-22.2256,29.5391
-22.4395,29.0208
-22.6457,28.4745
-22.8174,27.9628
-22.9723,27.4243
-23.1065,26.841
-23.2279,26.2647
-23.2869,25.964
-23.3441,25.654
-23.3959,25.3578
-23.4757,24.8245
-23.5459,24.2778
-23.6067,23.7299
-23.6566,23.1977
-23.703,22.6171
-23.7392,22.0619
-23.764,21.5507
-23.781,21.0383
-23.7899,20.5402
-23.7926,19.997
-23.7899,19.4618
-23.7834,18.932
-23.7716,18.3573
-23.7622,18.0563
-23.7366,17.4914
-23.7021,16.9069
-23.6795,16.6046
-23.6529,16.2953
-23.589,15.717
-23.5498,15.4141
-23.5059,15.1037
-23.4578,14.7938
-23.4055,14.4869
-23.2898,13.9233
-23.1462,13.3505
-23.0648,13.0592
-22.8906,12.5279
-22.6806,11.9747
-22.4581,11.4633
-22.3343,11.186
-22.2057,10.9114
-22.0747,10.6406
-21.8004,10.0999
-21.6508,9.8125
-21.5084,9.5447
-21.2242,9.0422
-20.9145,8.5342
-20.5985,8.0662
-20.2619,7.6038
-19.9376,7.1903
-19.5851,6.7678
-19.2019,6.3303
-18.8409,5.9453
-18.464,5.56
-18.0558,5.1557
-17.6776,4.7984
-17.3311,4.5023
-16.9721,4.2208
-16.6005,3.9637
-16.2122,3.7244
-15.7933,3.5033
-15.3201,3.2747
-14.8669,3.0875
-14.3624,2.9043
-13.9294,2.7622
-13.4802,2.6226
-13.0105,2.4855
-12.5228,2.3522
-12.0446,2.2292
-11.5985,2.1186
-11.1179,2.0045
-10.6693,1.9054
-10.212,1.8153
-9.8253,1.75
-9.4313,1.702
-9.0601,1.6753
-8.6674,1.6675
-8.331,1.6708
-7.9742,1.6766
-7.5996,1.6892
-7.263,1.7033
-6.8865,1.7129
-6.5599,1.7194
-6.2203,1.7195
-5.8673,1.7093
-5.5558,1.6917
-5.1956,1.666
-4.8298,1.6387
-4.4581,1.6078
-4.1479,1.5898
-3.7752,1.5775
-3.403,1.5673
-3.059,1.5595
-2.7185,1.5529
-2.404,1.5485
-2.0879,1.5448
-1.6832,1.5407
-1.3393,1.5378
-1.0213,1.5352
-0.6733,1.5328
-0.3141,1.5306
0.035,1.5285
0.4189,1.5265
0.7361,1.5249
